abruptly:кенеттен,шұғыл
ram:таран,қошқар
raven:қарға,құзғын
really:шынайы,өте
relative:нағашы,туыс
release:шығар,баянда
relief:көмек,бедер
representative:орынбасар,өкіл
resemble:ескерт,ұқса
reserve:резерв,запас
reward:сыйлық,марапат
rim:жиек,шеңбер
risk:құмар,тәуекелділік
roof:төбе,шатыр
root:тамыр,түбір
run:жүгір,жүгірт
russia:ресей,ресей
sack:қап,дорба
sale:сату,сатылым
saturday:сенбі,сенбі
secretary:секретарь,хатшы
sensitivity:сезімталдық,шыдамсыздық
september:қыркүйек,қырқұйек
shame:ұят,масқара
shape:нысан,кескін
shell:қоршам,қабыршақ
sleep:ұйқы,ұйқылық
so:олай,сөйтіп
sociology:социология,әлеуметтану
sound:дыбыс,дауыс
space:орын,ғарыш
stamp:таңба,мөртабан
stare:үңіл,таңғала
stocking:шұлық,жабдықтама
stream:тасқын,ағыс
strength:күш,әл
sugar:қант,шекер
sunday:жексенбі,жексенбі
support:сүйемел,көмек
survey:сауалнама,қарастыру
swallow:жұтым,қарлығаш
syrup:сироп,шәрбат
talk:сөйле,әңгімелес
teaching:ілім,тәлім
telephone:телефон,сымтетік
that:анау,осы
themselves:өз,өз
thing:нәрсе,зат
think:ойла,ойлан
this:мына,мынау
thousand:мың,мыңдаған
ticket:билет,авиабилет
tie:мойынтақ,байланыс
tobacco:тобак,темекі
tour:тур,айналым
tradition:дәстүр,рәсім
trick:айла,фокус
truth:шын,ақиқат
try:тырыс,өткіз
turkmenistan:түрікменстан,түрікменстан
understanding:түсінушілік,түсінік
village:ауыл,қыстау
voice:дауыс,үн
wake:оян,оят
wednesday:сәрсенбі,сәрсенбі
weight:ауыр,ауырлық
worth:құн,мәртебе
yet:әуелі,әзірше
you:сіз,сіздер
string:жіп,жол
